origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
VMH,693,LHA,194,0.9150322328
AHN,88,LHA,194,0.8237089434
MM,491,LHA,194,0.8157605456
VMH,693,AHN,88,0.5381425098
MPO,523,LHA,194,0.49015932840000004
AHN,88,PH,946,0.4238739316
TU,614,LHA,194,0.41398648619999995
VMH,693,PH,946,0.39216264079999996
VMH,693,MPO,523,0.3848717348
VMH,693,ZI,797,0.37931467909999994
TU,614,AHN,88,0.37485212659999995
AHN,88,VMH,693,0.353444889
PH,946,LHA,194,0.3396261148
AHN,88,TU,614,0.3366919066
AHN,88,MPO,523,0.3331861379
MM,491,PH,946,0.3197561444
TU,614,MPO,523,0.3135648278
VMH,693,TU,614,0.2991153942
VMH,693,MPN,515,0.295933295
MM,491,LPO,226,0.2867037481
TU,614,MPN,515,0.2790169564
AHN,88,ZI,797,0.27810094550000003
MM,491,MPO,523,0.27633188870000003
PMv,1004,MPN,515,0.2408249354
PSTN,364,LHA,194,0.23654050004375
MM,491,ZI,797,0.2362642751
TU,614,PH,946,0.2312442447
LHA,194,ZI,797,0.23115250199999998
DMH,830,LHA,194,0.2304742048
DMH,830,ZI,797,0.2278450265
AHN,88,DMH,830,0.2239139427
VMH,693,LPO,226,0.22191690605
MPO,523,PH,946,0.21733063100000002
LPO,226,LHA,194,0.21638708822500002
VMH,693,DMH,830,0.2141798575
TU,614,VMH,693,0.21146103370000002
AHN,88,MPN,515,0.20757507645
MM,491,SUM,525,0.2017909082
PMv,1004,TU,614,0.20146867440000002
MM,491,AHN,88,0.20143911760000002
AHN,88,LPO,226,0.20024979205
DMH,830,PH,946,0.1944522468
PMv,1004,LHA,194,0.19325199915
TU,614,DMH,830,0.18810989260000002
MPN,515,TU,614,0.18453759905
PH,946,ZI,797,0.18117017940000002
PVp,126,MPN,515,0.1790063198
MPN,515,MPO,523,0.172703734
TU,614,ZI,797,0.164513139
MM,491,TU,614,0.16130480519999998
MPN,515,LHA,194,0.15405511065
VMH,693,ARH,223,0.151935525
DMH,830,AHN,88,0.1481996376
AHN,88,ARH,223,0.14775410265
LHA,194,PH,946,0.1454300106
AHN,88,SUM,525,0.1451786602
